,Review_Page_Number,Ratings,Title,Posting_Date,Used_For,Review_Body,Whether_Recommended
0,152,5,Apple ear pod.,2023-06-30 18:16:00,1 month,These ear pods are great and work for prefect. Case keeps charge for 5-6 days.,1
1,152,5,Airpods,2023-07-26 12:36:00,2 weeks,"I love that airpods, this ones are my second pair.",1
2,152,5,Sue's Pods,2023-06-30 14:54:00,6 months,Love them. Just have to be careful to not loose one when I have the sound off.,1
3,152,5,Air pods,2023-06-19 10:11:00,1 year,I love the air pods. My grandson said: nana. thanks you so very much for buy theme for me.,1
4,152,5,Airpods,2023-07-20 20:37:00,1 month,What can i say. There airpods not much to day after that,0
5,152,4,Good price,2023-09-08 23:57:00,1 year,Great price with great quality yet they seem to fade after about a year of use.,1
6,152,5,Airpods,2023-07-07 22:38:00,3 weeks,"Great customer service and products.
the price was great on my airpods",1
7,152,5,Great AirPods,2023-05-20 07:27:00,3 weeks,I love these AirPods.  Best thing I've bought.  No wires to attach to phone or tablet.  they stay charged for a long time.,1
8,152,5,GREAT!!!!,2023-06-28 14:56:00,more than 2 years,Am so satisfied with the noise cancellation that will surprise any one with ears,1
9,152,5,Amazing,2023-07-22 14:31:00,1 month,I got my brothers these headphones and he loves them!!,1
10,152,5,Great,2023-06-28 13:22:00,7 months,Was great for i need. I lost my onld one and this was good like the another one.,1
11,152,5,For My Grandson’s,2023-07-22 13:13:00,3 weeks,"They were a present for my my grandson, he enjoys them",1
12,152,5,Rating,2023-07-22 11:53:00,3 weeks,"Ear Pods are easy to use, clear sound and comfortable.",1
13,152,5,Great purchase,2023-07-17 20:36:00,1 year,Great pair of headphones for when you don’t want any wires.,1
14,152,5,Solid purchase!,2023-06-03 04:40:00,3 weeks,Easily syncs to both my iPhone and Mac almost instantaneously. Phenomenal battery life and excellent sound.,1
15,152,5,AirPods to go!,2023-06-03 04:29:00,3 weeks,Really like these AirPods. Excellent quality and charging. Not to worry about charging and auto connection.,1
16,152,5,Papa's Airpods,2023-06-26 12:41:00,1 month,bought my son some for Xmas and he loves them so much I had to get me a pair also.,1
17,152,5,This is the best AirPods,2023-07-14 21:43:00,1 month,This is the best AirPods. I like them & using every single day,1
18,152,4,Good,2023-09-22 18:47:00,6 months,"Apple quality, excellent product, wish battery last longer",1
19,152,5,Easy to Use,2023-05-16 00:17:00,2 months,Good sound quality and very easy to use for the proce. Just stick them in your ears and they are on and paired to your device.,1
20,1236,5,Apple Airpods,2020-11-06 20:45:00,2 months,Excellent for listening to your favorite Music. Highly recommend.,1
21,1236,5,Thanks,2021-01-22 18:19:00,Not Available,"awesome ear buds! You can also track it, if you lose it!",1
22,1236,5,Solid batter,2020-12-11 16:34:00,1 month,Another great apple product. Use them pretty much every day !,1
23,1236,5,Small,2020-12-11 16:25:00,11 months,Great headphones super portable and love every aspect of them,1
